Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Division 2,07/08/99,Clyde,Alloa,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,07/08/99,Partick,Stenhousemuir,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,07/08/99,Queen of Sth,Arbroath,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,07/08/99,Ross County,Hamilton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,07/08/99,Stirling,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/08/99,Alloa,Partick,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/08/99,Arbroath,Clyde,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/08/99,Hamilton,Queen of Sth,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/08/99,Stenhousemuir,Stirling,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/08/99,Stranraer,Ross County,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,21/08/99,Clyde,Stranraer,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,21/08/99,Partick,Arbroath,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,21/08/99,Queen of Sth,Alloa,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,21/08/99,Ross County,Stenhousemuir,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,21/08/99,Stirling,Hamilton,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,28/08/99,Alloa,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,28/08/99,Clyde,Stirling,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,28/08/99,Partick,Queen of Sth,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,28/08/99,Ross County,Arbroath,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,28/08/99,Stenhousemuir,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/09/99,Arbroath,Alloa,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/09/99,Queen of Sth,Clyde,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/09/99,Stirling,Ross County,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/09/99,Stranraer,Partick,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,05/09/99,Hamilton,Stenhousemuir,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/09/99,Alloa,Ross County,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/09/99,Arbroath,Stirling,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/09/99,Clyde,Partick,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/09/99,Hamilton,Stranraer,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/09/99,Queen of Sth,Stenhousemuir,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/09/99,Partick,Hamilton,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/09/99,Ross County,Clyde,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/09/99,Stenhousemuir,Arbroath,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/09/99,Stirling,Alloa,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/09/99,Stranraer,Queen of Sth,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,25/09/99,Alloa,Stenhousemuir,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,25/09/99,Arbroath,Stranraer,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,25/09/99,Clyde,Hamilton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,25/09/99,Partick,Ross County,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,25/09/99,Queen of Sth,Stirling,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,02/10/99,Hamilton,Arbroath,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,02/10/99,Ross County,Queen of Sth,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,02/10/99,Stenhousemuir,Clyde,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,02/10/99,Stirling,Partick,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,02/10/99,Stranraer,Alloa,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,09/10/99,Hamilton,Ross County,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/10/99,Clyde,Arbroath,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/10/99,Partick,Alloa,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/10/99,Queen of Sth,Hamilton,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/10/99,Ross County,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/10/99,Stirling,Stenhousemuir,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,23/10/99,Alloa,Clyde,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,23/10/99,Arbroath,Queen of Sth,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,23/10/99,Stenhousemuir,Partick,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,23/10/99,Stranraer,Stirling,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,30/10/99,Partick,Clyde,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,30/10/99,Ross County,Alloa,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,30/10/99,Stenhousemuir,Queen of Sth,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,30/10/99,Stirling,Arbroath,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,30/10/99,Stranraer,Hamilton,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,06/11/99,Alloa,Stirling,4.0,4.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,06/11/99,Arbroath,Stenhousemuir,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,06/11/99,Clyde,Ross County,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,06/11/99,Hamilton,Partick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,06/11/99,Queen of Sth,Stranraer,0.0,5.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,09/11/99,Alloa,Arbroath,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,09/11/99,Clyde,Queen of Sth,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,10/11/99,Stenhousemuir,Hamilton,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,12/11/99,Ross County,Stirling,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,14/11/99,Partick,Stranraer,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,16/11/99,Hamilton,Alloa,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,20/11/99,Arbroath,Ross County,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,20/11/99,Queen of Sth,Partick,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,20/11/99,Stirling,Clyde,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,20/11/99,Stranraer,Stenhousemuir,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/11/99,Alloa,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/11/99,Arbroath,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/11/99,Clyde,Stenhousemuir,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/11/99,Partick,Stirling,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/11/99,Queen of Sth,Ross County,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/12/99,Hamilton,Clyde,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/12/99,Ross County,Partick,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/12/99,Stenhousemuir,Alloa,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,04/12/99,Stranraer,Arbroath,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,11/12/99,Stirling,Queen of Sth,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/12/99,Clyde,Alloa,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/12/99,Partick,Stenhousemuir,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/12/99,Queen of Sth,Arbroath,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,18/12/99,Stirling,Stranraer,2.0,5.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/12/99,Arbroath,Partick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/12/99,Hamilton,Stirling,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,27/12/99,Stranraer,Clyde,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,03/01/00,Partick,Hamilton,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,03/01/00,Stenhousemuir,Arbroath,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,03/01/00,Stirling,Alloa,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,03/01/00,Stranraer,Queen of Sth,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/01/00,Hamilton,Stranraer,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,15/01/00,Queen of Sth,Stenhousemuir,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,22/01/00,Arbroath,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,22/01/00,Clyde,Hamilton,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,22/01/00,Partick,Ross County,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,22/01/00,Queen of Sth,Stirling,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,29/01/00,Ross County,Hamilton,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,05/02/00,Hamilton,Arbroath,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,05/02/00,Ross County,Queen of Sth,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,05/02/00,Stenhousemuir,Clyde,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,05/02/00,Stirling,Partick,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,12/02/00,Clyde,Stirling,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,12/02/00,Partick,Queen of Sth,5.0,4.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,12/02/00,Ross County,Arbroath,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,12/02/00,Stenhousemuir,Stranraer,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,19/02/00,Stirling,Ross County,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,26/02/00,Alloa,Partick,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,26/02/00,Arbroath,Clyde,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,26/02/00,Hamilton,Queen of Sth,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 2,26/02/00,Stenhousemuir,Stirling,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
