Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Premier League,01/10/94,Kilmarnock,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Motherwell,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Rangers,Dundee United,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Celtic,Aberdeen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Hibernian,Rangers,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Kilmarnock,Dundee United,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Motherwell,Falkirk,5.0,3.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Partick,Hearts,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Aberdeen,Motherwell,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Dundee United,Partick,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Falkirk,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Hearts,Celtic,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Rangers,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Celtic,Falkirk,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Dundee United,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Hearts,Aberdeen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Kilmarnock,Partick,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Motherwell,Rangers,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Aberdeen,Dundee United,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Hibernian,Hearts,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Motherwell,Kilmarnock,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Partick,Falkirk,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,30/10/94,Celtic,Rangers,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Dundee United,Celtic,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Falkirk,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Hearts,Motherwell,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Kilmarnock,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Rangers,Partick,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/11/94,Falkirk,Kilmarnock,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/11/94,Motherwell,Dundee United,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Aberdeen,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Celtic,Partick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Hearts,Rangers,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Dundee United,Hearts,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Hibernian,Motherwell,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Kilmarnock,Celtic,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Partick,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Rangers,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/11/94,Rangers,Aberdeen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Falkirk,Dundee United,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Kilmarnock,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Motherwell,Partick,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,27/11/94,Hibernian,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Aberdeen,Kilmarnock,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Celtic,Motherwell,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Hearts,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Partick,Hibernian,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/12/94,Dundee United,Rangers,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Hibernian,Falkirk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Kilmarnock,Rangers,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Motherwell,Aberdeen,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Aberdeen,Celtic,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Dundee United,Kilmarnock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Falkirk,Motherwell,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Hearts,Partick,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Rangers,Hibernian,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Aberdeen,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Celtic,Falkirk,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Hibernian,Dundee United,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Motherwell,Rangers,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Partick,Kilmarnock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,02/01/95,Dundee United,Aberdeen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/01/95,Rangers,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/01/95,Aberdeen,Falkirk,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/01/95,Celtic,Dundee United,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/01/95,Hibernian,Kilmarnock,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/01/95,Partick,Rangers,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/01/95,Motherwell,Hearts,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,11/01/95,Celtic,Hearts,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/01/95,Motherwell,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,14/01/95,Aberdeen,Partick,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,14/01/95,Celtic,Kilmarnock,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,14/01/95,Falkirk,Rangers,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,14/01/95,Hearts,Dundee United,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/01/95,Falkirk,Partick,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/01/95,Kilmarnock,Motherwell,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/01/95,Hearts,Hibernian,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/01/95,Dundee United,Motherwell,6.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/01/95,Hibernian,Aberdeen,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/01/95,Kilmarnock,Falkirk,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/01/95,Partick,Celtic,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/01/95,Rangers,Hearts,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/02/95,Falkirk,Hearts,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/02/95,Hibernian,Partick,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/02/95,Kilmarnock,Aberdeen,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/02/95,Motherwell,Celtic,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/02/95,Rangers,Dundee United,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,11/02/95,Celtic,Hibernian,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,11/02/95,Hearts,Kilmarnock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,12/02/95,Aberdeen,Rangers,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/02/95,Dundee United,Falkirk,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/02/95,Aberdeen,Motherwell,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/02/95,Dundee United,Partick,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/02/95,Falkirk,Hibernian,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/02/95,Hearts,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/02/95,Rangers,Kilmarnock,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/03/95,Hibernian,Rangers,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/03/95,Kilmarnock,Dundee United,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/03/95,Celtic,Aberdeen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/03/95,Motherwell,Falkirk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/03/95,Partick,Dundee United,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/03/95,Partick,Aberdeen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/03/95,Rangers,Falkirk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/03/95,Partick,Motherwell,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/03/95,Aberdeen,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/03/95,Hearts,Rangers,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/03/95,Motherwell,Dundee United,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/03/95,Dundee United,Hearts,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,21/03/95,Kilmarnock,Celtic,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/03/95,Hibernian,Motherwell,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/03/95,Falkirk,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/04/95,Aberdeen,Kilmarnock,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/04/95,Celtic,Motherwell,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/04/95,Dundee United,Rangers,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/04/95,Hearts,Falkirk,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/04/95,Partick,Hibernian,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/04/95,Partick,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/04/95,Falkirk,Dundee United,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/04/95,Motherwell,Partick,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/04/95,Rangers,Aberdeen,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/04/95,Kilmarnock,Hearts,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/04/95,Aberdeen,Celtic,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/04/95,Dundee United,Kilmarnock,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/04/95,Falkirk,Motherwell,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/04/95,Hearts,Partick,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,16/04/95,Rangers,Hibernian,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/04/95,Motherwell,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,18/04/95,Partick,Dundee United,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/04/95,Celtic,Hearts,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/04/95,Hibernian,Falkirk,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/04/95,Kilmarnock,Rangers,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/04/95,Dundee United,Hibernian,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/04/95,Falkirk,Celtic,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/04/95,Hearts,Aberdeen,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/04/95,Kilmarnock,Partick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/04/95,Rangers,Motherwell,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,02/05/95,Celtic,Partick,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,06/05/95,Aberdeen,Dundee United,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,06/05/95,Hibernian,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,06/05/95,Motherwell,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,06/05/95,Partick,Falkirk,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,07/05/95,Celtic,Rangers,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/05/95,Hibernian,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/05/95,Dundee United,Celtic,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/05/95,Falkirk,Aberdeen,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/05/95,Hearts,Motherwell,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/05/95,Kilmarnock,Hibernian,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/05/95,Rangers,Partick,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,
