Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,,,,,,,,,,,,,,,,,,,,
Country,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Scotland,Premier League,31/07/99,Dundee United,Dundee,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,31/07/99,Hibernian,Motherwell,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,31/07/99,Rangers,Kilmarnock,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,31/07/99,St Johnstone,Hearts,1.0,4.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,01/08/99,Aberdeen,Celtic,0.0,5.0,A,0.0,3.0,A,,,,,,,,,,,
Scotland,Premier League,07/08/99,Celtic,St Johnstone,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,07/08/99,Hearts,Rangers,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,07/08/99,Kilmarnock,Aberdeen,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,07/08/99,Motherwell,Dundee United,2.0,2.0,D,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,08/08/99,Dundee,Hibernian,3.0,4.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,14/08/99,Aberdeen,Dundee,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,14/08/99,Hibernian,Hearts,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,15/08/99,Dundee United,Celtic,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,15/08/99,Rangers,Motherwell,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,15/08/99,St Johnstone,Kilmarnock,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,21/08/99,Dundee,Celtic,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,21/08/99,Kilmarnock,Motherwell,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,21/08/99,Rangers,Dundee United,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,21/08/99,St Johnstone,Hibernian,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/08/99,Hearts,Aberdeen,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,28/08/99,Hibernian,Rangers,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,28/08/99,Motherwell,Dundee,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,29/08/99,Aberdeen,St Johnstone,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,29/08/99,Celtic,Hearts,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,29/08/99,Dundee United,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,11/09/99,Dundee United,Hibernian,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,11/09/99,Hearts,Dundee,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,11/09/99,Rangers,Aberdeen,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,11/09/99,St Johnstone,Motherwell,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,12/09/99,Kilmarnock,Celtic,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,18/09/99,Aberdeen,Dundee United,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,19/09/99,Dundee,St Johnstone,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,19/09/99,Hibernian,Kilmarnock,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,25/09/99,Dundee United,Hearts,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,25/09/99,Hibernian,Celtic,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,25/09/99,Kilmarnock,Dundee,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,25/09/99,Rangers,St Johnstone,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,02/10/99,Aberdeen,Hibernian,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,02/10/99,Dundee,Rangers,2.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,16/10/99,Celtic,Aberdeen,7.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,16/10/99,Hearts,St Johnstone,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,16/10/99,Kilmarnock,Rangers,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,16/10/99,Motherwell,Hibernian,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,17/10/99,Dundee,Dundee United,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,20/10/99,Motherwell,Aberdeen,5.0,6.0,A,2.0,4.0,A,,,,,,,,,,,
Scotland,Premier League,23/10/99,Aberdeen,Kilmarnock,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,23/10/99,Dundee United,Motherwell,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,23/10/99,Hibernian,Dundee,5.0,2.0,H,2.0,1.0,H,,,,,,,,,,,
Scotland,Premier League,24/10/99,St Johnstone,Celtic,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,27/10/99,Celtic,Motherwell,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,27/10/99,Hearts,Kilmarnock,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,27/10/99,St Johnstone,Dundee United,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,30/10/99,Aberdeen,Rangers,1.0,5.0,A,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,30/10/99,Celtic,Kilmarnock,5.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,30/10/99,Dundee,Hearts,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,30/10/99,Motherwell,St Johnstone,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,31/10/99,Hibernian,Dundee United,3.0,2.0,H,1.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,06/11/99,Dundee United,Aberdeen,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/11/99,Hearts,Motherwell,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,06/11/99,Kilmarnock,Hibernian,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/11/99,St Johnstone,Dundee,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,07/11/99,Rangers,Celtic,4.0,2.0,H,2.0,2.0,D,,,,,,,,,,,
Scotland,Premier League,20/11/99,Dundee,Motherwell,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,20/11/99,Hearts,Celtic,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,20/11/99,Kilmarnock,Dundee United,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,20/11/99,Rangers,Hibernian,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,21/11/99,St Johnstone,Aberdeen,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,23/11/99,Motherwell,Hearts,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,24/11/99,Hibernian,St Johnstone,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,27/11/99,Dundee United,St Johnstone,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,27/11/99,Hibernian,Aberdeen,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,27/11/99,Kilmarnock,Hearts,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,28/11/99,Motherwell,Celtic,3.0,2.0,H,2.0,2.0,D,,,,,,,,,,,
Scotland,Premier League,28/11/99,Rangers,Dundee,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,04/12/99,Celtic,Hibernian,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,05/12/99,Hearts,Dundee United,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,08/12/99,Aberdeen,Hearts,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,11/12/99,Aberdeen,Celtic,0.0,6.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,11/12/99,Hibernian,Motherwell,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,11/12/99,Rangers,Kilmarnock,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/12/99,Dundee United,Dundee,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,18/12/99,Celtic,Dundee United,4.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,18/12/99,Kilmarnock,St Johnstone,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,18/12/99,Motherwell,Rangers,1.0,5.0,A,0.0,3.0,A,,,,,,,,,,,
Scotland,Premier League,19/12/99,Hearts,Hibernian,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/12/99,Rangers,Hearts,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Aberdeen,Dundee United,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Celtic,Rangers,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Dundee,St Johnstone,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,27/12/99,Hibernian,Kilmarnock,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/01/00,Dundee United,Hibernian,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,22/01/00,Hearts,Dundee,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/01/00,Rangers,Aberdeen,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/01/00,St Johnstone,Motherwell,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,23/01/00,Kilmarnock,Celtic,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,26/01/00,Aberdeen,Motherwell,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,26/01/00,Dundee,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,02/02/00,Dundee United,Rangers,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,05/02/00,Aberdeen,St Johnstone,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,05/02/00,Celtic,Hearts,2.0,3.0,A,2.0,1.0,H,,,,,,,,,,,
Scotland,Premier League,05/02/00,Motherwell,Dundee,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/02/00,Hibernian,Rangers,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/02/00,Dundee,Celtic,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/02/00,Kilmarnock,Motherwell,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,15/02/00,St Johnstone,Rangers,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,22/02/00,Motherwell,Kilmarnock,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/02/00,St Johnstone,Hibernian,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,23/02/00,Dundee,Aberdeen,1.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,26/02/00,Aberdeen,Hibernian,4.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,26/02/00,Hearts,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
